36381,CH 456 - -CH - -A,INTEGRATED CHEMISTRY LABORATORY II,"Hagan, Thomas",Open,2/24,W (12:30pm-03:20pm) MU 215,1
36382,CH 462 - -CH - -A,CHEMISTRY SEMINAR IV,"Hagan, Thomas",Open,5/24,F (11:00am-12:15pm) MU 232,1
36383,CH 492 - -CH - -A,RESEARCH IN CHEMISTRY,"MacKay, James",Open,0/45,By Arrangement,2
36384,CH 492 - -CH - -B,RESEARCH IN CHEMISTRY,"Toote, Lauren",Open,0/45,By Arrangement,2
36385,CH 492 - -CH - -C,RESEARCH IN CHEMISTRY,"Hagan, Thomas",Open,0/18,By Arrangement,2
36648,CSC462 - -CSC - -A,COGNITIVE SCIENCE CAPSTONE,"Silberstein, Michael",Open,0/18,TH (12:30pm-01:45pm) E 187,4
36101,COM120 - -CM - -A,INTRO TO COMMUNICATION,"Poniatowski, Kelly",Open,0/18,MW (09:30am-10:50am) ST 114,4
36102,COM130 - -CM - -A,VISUAL COMMUNICATIONS,"Hughes, Katherine",Open,0/18,TH (11:00am-12:20pm) ST 210,4
36103,COM130 - -CM - -B,VISUAL COMMUNICATIONS,"Hughes, Katherine",Open,0/18,TH (02:00pm-03:20pm) ST 210,4
36106,COM145 - -3CE -C-A,CE DIGITAL PHOTOGRAPHY (ART 145),"Helb, Colin",Closed,8/24,MW (12:30pm-01:50pm) ST 211,4
36678,COM170 - -CM - -A,FACE-TO-FACE COMMUNICATION IN A DIGITAL WORLD,"Gillis, Tamara",Open,4/16,W (12:30pm-01:50pm) ST 101,2
36581,COM210 - -CM - -A,PRESENTATION SKILLS,"Johnson, Kirsten",Open,4/24,TH (09:30am-10:50am) ST 211,4
36108,COM211 - -CM - -A,MULTIMEDIA JOURNALISM,"Poniatowski, Kelly",Open,9/24,TH (12:30pm-01:50pm) N 203,4
36109,COM220 - -CM - -A,AUDIO PRODUCTION,"Helb, Colin",Open,15/24,MW (09:30am-10:50am) ST 204,4
36110,COM248 - -CM - -A,COMMUNICATION LAW AND ETHICS,"Telleen, Matthew",Open,7/24,MW (09:30am-10:50am) ST 101,4
36121,COM261 - -CM - -A,FILM STUDIES,"Helb, Colin",Closed,9/24,MW (02:00pm-03:20pm) ST 204,4
36122,COM314 - -CM - -A,MAGAZINE PRODUCTION,"Gillis, Tamara",Open,2/12,TH (11:00am-12:20pm) ST 204,4
36112,COM330 - -CM - -A,COMMUNICATION RESEARCH METHODS,"Telleen, Matthew",Open,2/12,MW (12:30pm-01:50pm) ST 204,4
36123,COM333 - -CM - -A,ORGANIZATIONAL COMMUNICATION,"Gillis, Tamara",Closed,1/12,TH (09:30am-10:50am) ST 204,4
36114,COM358 - -CM - -A,MARKETING COMMUNICATIONS,"Telleen, Matthew",Open,5/5,T (05:30pm-08:30pm) ST 204,4
36120,COM370 - -CM - -A,"MEDIA, SPORTS, AND SOCIETY","Poniatowski, Kelly",Open,1/5,MW (11:00am-12:20pm) ST 114,4
36124,COM371 - -CM - -A,PHOTOJOURNALISM,"Hughes, Katherine",Open,4/5,MW (02:00pm-03:20pm) ST 210,4
36115,COM410 - -CM - -A,ADVANCED PRODUCTION,"Johnson, Kirsten",Open,1/5,MW (09:30am-10:50am) ST 210,4
36117,COM471 - -CM - -A,PRACTICUM,"Gillis, Tamara",Open,5/5,By Arrangement,1
36118,COM485 - -CM - -A,COMMUNICATIONS CAPSTONE,"Johnson, Kirsten",Open,5/5,TH (12:30pm-01:50pm) ST 204,4
36125,COM485 - -CM - -B,COMMUNICATIONS CAPSTONE,"Gillis, Tamara",Open,1/5,TH (12:30pm-01:50pm) ST 211,4
36119,COM499 - -CM - -A,HONORS IN THE DISCIPLINE II,"Helb, Colin",Open,2/6,By Arrangement,2
36857,COM499 - -CM - -B,HONORS IN THE DISCIPLINE II,"Gillis, Tamara",Open,2/6,By Arrangement,2
36290,CS 113 - -6NPS-C-A,NPS THE POWER AND BEAUTY OF COMPUTING,"Gu, Ting",Open,2/6,TH (12:30pm-02:00pm) E 281,4
36873,CS 113 - -6NPS-C-B,NPS THE POWER AND BEAUTY OF COMPUTING,"Gu, Ting",Open,2/6,TH (09:30am-11:10am) E 281,4
36274,CS 121 - -CS - -B,COMPUTER SCIENCE I,"Li, Peilong",Open,2/6,MWF (09:30am-10:50am) N 208,4
36275,CS 122 - -CS - -A,COMPUTER SCIENCE II,"Leap, Thomas",Open,1/18,MWF (12:30pm-01:50pm) N 208,4
36276,CS 222 - -CS - -A,SYSTEMS PROGRAMMING (EGR 222),"Li, Peilong",Closed,10/10,MWF (12:30pm-01:50pm) E 281,4
36278,CS 230 - -CS - -A,MICROCOMPUTER ARCHITECTURE (EGR 230),"Wunderlich, Joseph",Open,12/20,MWF (02:00pm-03:20pm) E 273,4
36279,CS 322 - -CS - -A,ALGORITHMS,"Gu, Ting",Open,14/25,TH (02:00pm-03:30pm) E 273,4
36287,CS 333 - -CS - -A,DIGITAL CIRCUITS AND COMPUTER INTERFACING (EGR 333),"Wunderlich, Joseph",Open,8/20,MF (03:30pm-05:50pm) E 273,4
36280,CS 341 - -CS - -A,SOFTWARE ENGINEERING,"Staff, ",Closed,14/20,TH (02:30pm-04:10pm) E 281,4
36281,CS 342 - -CS - -A,COMPUTER NETWORKING,"Leap, Thomas",Closed,20/20,MWF (09:30am-10:50am) E 281,4
36282,CS 422 - -CS - -A,OPERATING SYSTEMS (EGR 422),"Leap, Thomas",Open,30/35,MWF (02:00pm-03:20pm) E 281,4
36284,CS 471 - -CS - -A,INTERNSHIP IN COMPUTING,"Leap, Thomas",Open,19/24,By Arrangement,4
36285,CS 490 - -CS - -A,PROJECTS IN COMPUTING,"Gu, Ting",Open,33/35,By Arrangement,4
36291,CS 490 - -CS - -B,PROJECTS IN COMPUTING,"Staff, ",Open,29/35,By Arrangement,4
36286,CS 495 - -CS - -A,HONORS PROJECTS IN COMPUTING,"Staff, ",Open,25/25,By Arrangement,4
36289,DS 200 - -CS - -A,INTRODUCTION TO DATA SCIENCE,"Li, Peilong",Open,25/25,MWF (03:30pm-04:50pm) E 281,4
