"36065","158","0","Open","17","24","03/18/2019","","1"
"36066","159","0","Open","17","24","03/18/2019","","1"
"36067","160","0","Open","17","24","03/18/2019","","1"
"36068","160","0","Open","17","24","03/18/2019","","1"
"36069","160","0","Open","17","24","03/18/2019","","1"
"36837","160","0","Open","17","24","03/18/2019","","1"
"36865","160","0","Open","17","24","03/18/2019","","1"
"36074","161","0","Open","17","24","03/18/2019","","1"
"36070","161","0","Open","17","24","03/18/2019","","1"
"36071","161","0","Open","17","24","03/18/2019","","1"
"36078","161","0","Open","17","24","03/18/2019","","1"
"36075","161","0","Open","17","24","03/18/2019","","1"
"36076","161","0","Open","17","24","03/18/2019","","1"
"36072","161","0","Open","17","24","03/18/2019","","1"
"36073","161","0","Open","17","24","03/18/2019","","1"
"36077","161","0","Open","17","24","03/18/2019","","1"
"36079","162","0","Open","17","24","03/18/2019","","1"
"36080","163","115","Open","1","5","MW","09:30am-10:50am","16"
"36081","164","65","Open","0","14","TH","11:00am-12:20pm","1"
"36082","273","0","Open","17","24","03/18/2019","","1"
"36083","274","0","Open","17","24","03/18/2019","","1"
"36084","275","0","Open","17","24","03/18/2019","","1"
"36088","276","42","Open","18","30","T","07:40am-09:15am","2"
"36090","277","96","Open","0","45","By","","2"
"36093","278","0","Open","17","24","03/18/2019","","2"
"36099","279","0","Open","17","24","03/18/2019","","2"
"36086","281","0","Open","17","24","03/18/2019","","2"
"36087","0","0","Open","17","24","03/18/2019","","2"
"36089","0","0","Open","17","24","03/18/2019","","2"
"36092","0","0","Open","17","24","03/18/2019","","2"
"36098","0","0","Open","17","24","03/18/2019","","2"
"36568","237","87","Open","1","24","By","","2"
"36567","238","0","Open","17","24","03/18/2019","","2"
"36445","258","93","Open","2","24","W","12:30pm-03:20pm","40"
"36234","165","53","Open","2","24","By","","40"
"36235","165","53","Open","2","24","By","","40"
"36277","166","0","Open","17","24","03/18/2019","","40"
"36625","167","0","Open","17","24","03/18/2019","","40"
"36406","168","93","Open","2","24","W","12:30pm-03:20pm","40"
"36408","168","93","Open","2","24","W","12:30pm-03:20pm","40"
"36236","169","115","Open","1","5","MW","09:30am-10:50am","16"
"36872","0","0","Open","17","24","03/18/2019","","16"
"36906","0","0","Open","17","24","03/18/2019","","16"
"36237","170","0","Open","17","24","03/18/2019","","16"
"36269","171","0","Open","17","24","03/18/2019","","16"
"36238","172","0","Open","17","24","03/18/2019","","16"
"36288","173","0","Open","17","24","03/18/2019","","16"
"36240","174","59","Open","6","35","W","04:00pm-05:15pm","24"
"36271","175","60","Open","15","24","W","04:00pm-05:15pm","24"
"36242","176","60","Open","15","24","W","04:00pm-05:15pm","24"
"36243","177","60","Open","15","24","W","04:00pm-05:15pm","24"
"36244","177","60","Open","15","24","W","04:00pm-05:15pm","24"
"36245","177","60","Open","15","24","W","04:00pm-05:15pm","24"
"36246","177","60","Open","15","24","W","04:00pm-05:15pm","24"
"36247","178","0","Open","17","24","03/18/2019","","24"
"36248","179","60","Open","15","24","W","04:00pm-05:15pm","24"
"36283","180","0","Open","17","24","03/18/2019","","24"
"36251","181","0","Open","17","24","03/18/2019","","24"
"36252","182","69","Open","7","18","M","11:00am-12:15pm","22"
"36253","182","69","Open","7","18","M","11:00am-12:15pm","22"
"36254","182","69","Open","7","18","M","11:00am-12:15pm","22"
"36626","182","69","Open","7","18","M","11:00am-12:15pm","22"
"35925","183","0","Open","17","24","03/18/2019","","22"
"35927","183","0","Open","17","24","03/18/2019","","22"
"36255","206","0","Open","17","24","03/18/2019","","22"
"36258","0","0","Open","17","24","03/18/2019","","22"
"36260","0","0","Open","17","24","03/18/2019","","22"
"36261","0","0","Open","17","24","03/18/2019","","22"
"36262","0","0","Open","17","24","03/18/2019","","22"
"36264","0","0","Open","17","24","03/18/2019","","22"
"36265","0","0","Open","17","24","03/18/2019","","22"
"36272","0","0","Open","17","24","03/18/2019","","22"
"36239","0","0","Open","17","24","03/18/2019","","22"
"36268","0","0","Open","17","24","03/18/2019","","22"
"36531","184","0","Open","17","24","03/18/2019","","22"
"36532","184","0","Open","17","24","03/18/2019","","22"
"36533","184","0","Open","17","24","03/18/2019","","22"
"36534","184","0","Open","17","24","03/18/2019","","22"
"36535","184","0","Open","17","24","03/18/2019","","22"
"36536","184","0","Open","17","24","03/18/2019","","22"
"36537","184","0","Open","17","24","03/18/2019","","22"
"36565","185","0","Open","17","24","03/18/2019","","22"
"36538","186","0","Open","17","24","03/18/2019","","22"
"36539","187","69","Open","7","18","M","11:00am-12:15pm","22"
"36588","188","0","Open","17","24","03/18/2019","","22"
"36566","189","0","Open","17","24","03/18/2019","","22"
"36540","190","0","Open","17","24","03/18/2019","","22"
"36541","191","0","Open","17","24","03/18/2019","","22"
"36542","192","0","Open","17","24","03/18/2019","","22"
"36543","193","73","Open","0","5","TH","02:00pm-03:20pm","59"
"36544","194","73","Open","0","5","TH","02:00pm-03:20pm","59"
"36545","195","50","Open","0","35","TH","09:20am-10:55am","21"
"36546","195","50","Open","0","35","TH","09:20am-10:55am","21"
"36547","196","51","Open","0","35","TH","06:00pm-07:20pm","23"
"36548","197","15","Open","9","35","F","12:30pm-01:20pm","30"
"36549","198","15","Open","9","35","F","12:30pm-01:20pm","30"
"36550","198","15","Open","9","35","F","12:30pm-01:20pm","30"
"36696","199","80","Open","7","11","MWF","09:30am-10:30am","34"
"36562","200","51","Open","0","35","TH","06:00pm-07:20pm","23"
"36859","0","0","Open","17","24","03/18/2019","","23"
"36563","201","74","Open","9","10","01/14/2019","","23"
"36560","202","74","Open","9","10","01/14/2019","","23"
"36561","203","75","Open","0","2","By","","23"
"36552","204","81","Open","7","11","MWF","12:30pm-01:45pm","36"
"36553","205","51","Open","0","35","TH","06:00pm-07:20pm","23"
"36554","205","51","Open","0","35","TH","06:00pm-07:20pm","23"
"36900","205","51","Open","0","35","TH","06:00pm-07:20pm","23"
"36901","205","51","Open","0","35","TH","06:00pm-07:20pm","23"
"36558","225","34","Open","7","24","By","","23"
"36559","226","81","Open","7","11","MWF","12:30pm-01:45pm","36"
"36556","257","90","Open","6","40","TH","12:30pm-01:50pm","34"
"35908","16","10","Open","14","35","MF","11:00am-12:20pm","30"
"35909","16","10","Open","14","35","MF","11:00am-12:20pm","30"
"35910","16","10","Open","14","35","MF","11:00am-12:20pm","30"
"35928","16","10","Open","14","35","MF","11:00am-12:20pm","30"
"35911","17","4","Closed","27","35","MW","08:00am-09:20am","5"
"36880","17","4","Closed","27","35","MW","08:00am-09:20am","5"
"36107","18","14","Open","15","15","F","12:30pm-01:20pm","33"
"35912","19","13","Open","5","5","MWF","09:30am-10:20am","26"
"35913","20","4","Closed","27","35","MW","08:00am-09:20am","5"
"35914","21","3","Closed","31","35","MWF","09:30am-10:20am","29"
"35922","22","2","Open","9","35","MWF","12:30pm-01:20pm","28"
"35915","23","8","Open","4","14","TH","08:00am-10:50am","32"
"36633","24","0","Open","17","24","03/18/2019","","32"
"35916","25","10","Open","14","35","MF","11:00am-12:20pm","30"
"35918","26","22","Open","3","12","By","","30"
"35919","27","22","Open","3","12","By","","30"
"36843","0","0","Open","17","24","03/18/2019","","30"
"35930","28","26","Closed","6","35","MWF","12:30pm-01:40pm","0"
"35920","29","17","Open","13","35","By","","0"
"36653","30","17","Open","13","35","By","","0"
"36856","0","0","Open","17","24","03/18/2019","","0"
"36650","31","22","Open","3","12","By","","0"
"35921","32","17","Open","13","35","By","","0"
"36654","33","26","Closed","6","35","MWF","12:30pm-01:40pm","0"
"35929","34","26","Closed","6","35","MWF","12:30pm-01:40pm","0"
"35931","35","26","Closed","6","35","MWF","12:30pm-01:40pm","0"
"35923","36","21","Open","2","24","By","","0"
"35924","37","0","Open","17","24","03/18/2019","","0"
"35926","37","0","Open","17","24","03/18/2019","","0"
"35977","128","51","Open","0","35","TH","06:00pm-07:20pm","23"
"35978","129","0","Open","17","24","03/18/2019","","23"
"35979","130","49","Open","0","35","TH","02:00pm-03:40pm","3"
"36232","216","74","Open","9","10","01/14/2019","","3"
"36139","282","119","Open","2","6","By","","3"
