36427,BA 474 - -BU - -A,INTERNSHIP IN BUSINESS,"Varamini, Hossein",Open,8-Aug,W (04:00pm-05:15pm) H 226,4
36428,BA 475 - -BU - -A,BUSINESS CO-OPERATIVE FELLOWSHIP,"Melvin, Sean",Open,5-May,By Arrangement,0
36233,BA 490 - -BU - -A,ARTS ADMINISTRATION STRATEGY (FPA 490),"Gillis, Tamara",Open,15/15,W (09:00am-10:40am) Z 116,2
36430,BA 495 - -BU - -A,BUSINESS POLICY AND CORPORATE STRATEGY,"Sandu, Petru",Open,20/20,MW (02:00pm-03:20pm) H 213,4
36431,BA 497 - -BU - -A,INTERNATIONAL BUSINESS SEMINAR,"Varamini, Hossein",Open,24/24,TH (02:00pm-03:40pm) H 211,4
36432,BA 499 - -BU - -A,SEMINAR IN MANAGEMENT,"Ciocirlan, Cristina",Open,16/16,TH (11:00am-12:20pm) H 214,4
35934,BIO103 - -6NPS-C-A,NPS LIVING WITH THE ENVIRONMENT,"Murray, Thomas",Open,24/24,MWF (08:00am-08:50am) L 151,4
,BIO103 - -6NPS-C-A,LAB - NPS LIVING WITH THE ENVIRONMENT,,,,W (12:30pm-03:20pm) L 151,
35935,BIO111 - -BI - -A,"MOLECULES, CELLS, & ANIMAL SYSTEMS","Goldina, Anya",Open,35/35,MWF (08:00am-08:50am) L 152,4
35937,BIO111 -L-BI - -A,"MOLECULES, CELLS, & ANIMAL SYST LAB","Goldina, Anya",Open,24/24,W (12:30pm-03:20pm) L 152,
35938,BIO112 - -BI - -A,"PRINCIPLES OF EVOLUTION, ECOLOGY, AND DIVERSITY OF LIFE","Bridge, Diane",Open,40/40,MWF (12:30pm-01:20pm) E 187,4
35939,BIO112 - -BI - -B,"PRINCIPLES OF EVOLUTION, ECOLOGY, AND DIVERSITY OF LIFE","Bridge, Diane",Open,24/24,MWF (09:30am-10:20am) L 253,4
35940,BIO112 -L-BI - -A,"PRINC OF EVOL,ECOL,&DIV OF LIFE LAB","Bowne, David",Open,24/24,H (08:00am-10:50am) L 253,
35941,BIO112 -L-BI - -B,"PRINC OF EVOL,ECOL,&DIV OF LIFE LAB","Bridge, Diane",Open,24/24,H (12:30pm-03:20pm) L 253,
35942,BIO112 -L-BI - -C,"PRINC OF EVOL,ECOL,&DIV OF LIFE LAB","Bridge, Diane",Open,24/24,T (12:30pm-03:20pm) L 253,
